"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","lossavers","predicted_lo","predicted_hi","predicted","trust","riskaverse","Strategies3"
"61",6,"trust","2",0.00613292297550749,0.00391263154472586,1.56746754847758,0.117005445764641,3.09535241640514,-0.0015356939369305,0.0138015398879455,0.5,0.41608157862429,0.416091391301051,0.416086485153136,8.75901875901876,0.507674153491016,4
"62",7,"trust","2",0.00652498144820823,0.00386778739250599,1.68700623536099,0.0916021529967112,3.44847468226937,-0.00105574254096159,0.0141057054373781,0.6,0.395135858269062,0.395146298239379,0.395141078428189,8.75901875901876,0.507674153491016,4
"63",8,"trust","2",0.00685046763204689,0.00383934572766146,1.78427995756962,0.0743781853273008,3.7489766401475,-0.000674511718367303,0.0143754469824611,0.7,0.374180531497431,0.374191492245643,0.374186012028029,8.75901875901876,0.507674153491016,4
"64",9,"trust","2",0.00710657896942773,0.00381538463726377,1.86261141275766,0.0625169574841503,3.99960862143933,-0.00037143750677667,0.0145845954456321,0.8,0.353328235838678,0.353339606365029,0.353333921240231,8.75901875901876,0.507674153491016,4
"65",10,"trust","2",0.00729212948871738,0.00378930743412659,1.92439637466316,0.0543049185298111,4.20277331739501,-0.000134776608520614,0.0147190355859554,0.9,0.332690574669364,0.332702242076546,0.332696408492937,8.75901875901876,0.507674153491016,4
"66",11,"trust","2",0.00740756043435264,0.00376452862212771,1.96772589025127,0.0490995852290615,4.34814535241405,2.92199162121405e-05,0.0147859009524931,1,0.312375618160042,0.312387470256737,0.312381544310058,8.75901875901876,0.507674153491016,4
"67",1,"lossavers","4",0.230192768875814,0.0709634123376873,3.24382327868362,0.00117936893276655,9.72776918872519,0.0911070364738819,0.369278501277747,0,0.314837217672607,0.314860236949495,0.314848727198241,8.75901875901876,0.507674153491016,4
"68",2,"lossavers","4",0.238800411157536,0.0791318154030978,3.01775474176961,0.00254654909286185,8.61724075460683,0.0837049029361923,0.39389591937888,0.1,0.338293622914982,0.338317502956098,0.338305562833493,8.75901875901876,0.507674153491016,4
"69",3,"lossavers","4",0.24646820416252,0.0864846675864548,2.84984854588401,0.00437400517679257,7.83682935679356,0.0769613704781499,0.41597503784689,0.2,0.362565147004998,0.362589793825414,0.362577470325872,8.75901875901876,0.507674153491016,4
"70",4,"lossavers","4",0.25304608657073,0.0927788454694871,2.727411462066,0.00638333856563076,7.29147311579633,0.0712028909233277,0.434889282218131,0.3,0.387550203705706,0.387575508314363,0.387562855935203,8.75901875901876,0.507674153491016,4
"71",5,"lossavers","4",0.258399614122551,0.0978014133818655,2.64208466102253,0.00823974566091068,6.9231844787349,0.0667123662569808,0.450086861988121,0.4,0.413132932218872,0.413158772180285,0.413145852140809,8.75901875901876,0.507674153491016,4
"72",6,"lossavers","4",0.26241557788298,0.101265903748044,2.59135175977776,0.00955997187517169,6.70877791076673,0.0639380536749137,0.460893102091045,0.5,0.4391850433211,0.439211284878888,0.439198164058547,8.75901875901876,0.507674153491016,4
"73",7,"lossavers","4",0.265006974666249,0.103180280837659,2.56838780157231,0.0102172781625227,6.61284526986149,0.0627773403097089,0.467236609022788,0.6,0.465568198145654,0.465594698843121,0.465581448471169,8.75901875901876,0.507674153491016,4
"74",8,"lossavers","4",0.266116965766949,0.103401797113759,2.57362031603936,0.0100640648222122,6.63464307007774,0.0634531674872647,0.468780764046634,0.7,0.492136836314003,0.492163448010579,0.49215014215781,8.75901875901876,0.507674153491016,4
"75",9,"lossavers","4",0.265721519964179,0.10179493531528,2.61036090981526,0.00904467441798775,6.78871571371259,0.0662071129376468,0.465235926990712,0.8,0.518741336405221,0.518767908557217,0.518754622495565,8.75901875901876,0.507674153491016,4
