"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","riskaverse","predicted_lo","predicted_hi","predicted","trust","lossavers","Strategies3"
"21",10,"riskaverse","1",0.0233630865454936,0.0828330901613607,0.282050162561626,0.777905046847385,0.362334028111165,-0.138986786898932,0.18571295998992,0.9,0.153417182423994,0.153418881557612,0.153418031995302,8.75901875901876,0.517797024713622,4
"22",11,"riskaverse","1",0.0226675283857607,0.0842957801477414,0.268904663389227,0.788003048245117,0.343726884394025,-0.142549164752519,0.18788422152404,1,0.155718984856744,0.155720633404312,0.155719809135223,8.75901875901876,0.517797024713622,4
"23",1,"trust","1",0.0107167130010064,0.00335563173941067,3.1936499095364,0.00140486374751165,9.4753540690353,0.00413979564638194,0.0172936303556308,0,0.130067788903252,0.130084935644054,0.130076362059213,8.75901875901876,0.517797024713622,4
"24",2,"trust","1",0.0108271967640995,0.00307890737676411,3.51657112058978,0.000437159523715095,11.159552550449,0.00479264919390716,0.0168617443342919,0.1,0.132846592202211,0.132863915717034,0.132855253747074,8.75901875901876,0.517797024713622,4
"25",3,"trust","1",0.0109301255055844,0.00286537978412937,3.81454687651655,0.000136433038468874,12.8395193314956,0.00531408432666164,0.0165461666845071,0.2,0.135589269100279,0.135606757301088,0.13559801299019,8.75901875901876,0.517797024713622,4
"26",4,"trust","1",0.0110254256153498,0.00270750489419549,4.07217199828034,4.65767639130949e-05,14.390030067793,0.00571881353476075,0.0163320376959389,0.3,0.138291208749179,0.138308849430164,0.138300028881379,8.75901875901876,0.517797024713622,4
"27",5,"trust","1",0.0111130615678898,0.00263082115600988,4.22417979363704,2.39812547966272e-05,15.3477333260471,0.00595674685234438,0.0162693762834352,0.4,0.140947933256608,0.140965714155117,0.1409568234999,8.75901875901876,0.517797024713622,4
"28",6,"trust","1",0.0111930353154099,0.00264291905906933,4.23510333280937,2.28446631061681e-05,15.4177833073838,0.00601300914557956,0.0163730614852403,0.5,0.143555122332356,0.14357303118886,0.143564076557089,8.75901875901876,0.517797024713622,4
"29",7,"trust","1",0.0112653852699617,0.00274757857960674,4.10011395254583,4.12946753904601e-05,14.5636847044872,0.00588023020923873,0.0166505403306846,0.6,0.146108636463153,0.146126661079585,0.146117648570388,8.75901875901876,0.517797024713622,4
"30",8,"trust","1",0.0113301848992178,0.00293132441540186,3.86521015541181,0.000110993588178782,13.1372360414412,0.00558489461802727,0.0170754751804084,0.7,0.14860453835665,0.148622666652489,0.148613602306204,8.75901875901876,0.517797024713622,4
"31",9,"trust","1",0.0113875409698747,0.00318356388608087,3.57697893849816,0.000347588167553463,11.4903334081638,0.00514787041067377,0.0176272115290755,0.8,0.151039112425258,0.15105733249081,0.151048222262346,8.75901875901876,0.517797024713622,4
"32",10,"trust","1",0.0114375914759754,0.00348046769071488,3.28622256902093,0.00101540743449168,9.94372555648702,0.00461600015281894,0.0182591827991318,0.9,0.153408882115088,0.15342718226145,0.153418031995302,8.75901875901876,0.517797024713622,4
"33",11,"trust","1",0.0114805032963398,0.00382077866125591,3.0047548717638,0.00265794965081177,8.55547050857026,0.00399191472737911,0.0189690918653006,1,0.155710624922802,0.155728993728076,0.155719809135223,8.75901875901876,0.517797024713622,4
"34",1,"lossavers","2",-0.208005295873614,0.0941833228234698,-2.2085151557403,0.0272083825011971,5.19980499676168,-0.392601216551924,-0.0234093751953045,0,0.359184774708976,0.359163974179389,0.35917437442147,8.75901875901876,0.517797024713622,4
"35",2,"lossavers","2",-0.208813649458794,0.0947092689776304,-2.20478577981755,0.0274691303729656,5.18604495196631,-0.394440405657067,-0.0231868932605223,0.1,0.369618783277498,0.369597901912552,0.369608342579262,8.75901875901876,0.517797024713622,4
"36",3,"lossavers","2",-0.209344457934302,0.0956424416596426,-2.1888238558284,0.0286096451214261,5.12735458742066,-0.396800198980674,-0.0218887168879291,0.2,0.38008820097944,0.380067266533647,0.380077733747782,8.75901875901876,0.517797024713622,4
"37",4,"lossavers","2",-0.209596347526819,0.0962298499035246,-2.17808037461297,0.0294000534212993,5.088037413265,-0.398203387575423,-0.0209893074782158,0.3,0.390579186293144,0.390558226658392,0.390568706474021,8.75901875901876,0.517797024713622,4
"38",5,"lossavers","2",-0.209569500494444,0.0968784153133289,-2.16322180556571,0.0305241238996011,5.03390630205883,-0.399447705387883,-0.0196912956010059,0.4,0.401077864104427,0.401056907154378,0.401067385634644,8.75901875901876,0.517797024713622,4
"39",6,"lossavers","2",-0.209265646552437,0.0977554164643429,-2.14070640913047,0.0322977213480862,4.95242380552979,-0.400862742116262,-0.0176685509886109,0.5,0.411570402922948,0.411549476358293,0.411559939652785,8.75901875901876,0.517797024713622,4
"40",7,"lossavers","2",-0.20868803611851,0.098365115317503,-2.12156551074948,0.0338742412038741,4.88366755987408,-0.401480119475945,-0.0158959527610744,0.6,0.422043091244208,0.422022222440597,0.422032656861388,8.75901875901876,0.517797024713622,4
"41",8,"lossavers","2",-0.207841395952757,0.0993157270614011,-2.09273397177328,0.0363729088888022,4.78099188120325,-0.402496644091513,-0.0131861478140008,0.7,0.432482412166037,0.432461628026442,0.432472020121907,8.75901875901876,0.517797024713622,4
"42",9,"lossavers","2",-0.206731868187537,0.100073623080493,-2.06579777791452,0.0388475780156173,4.68603153435357,-0.402872565227739,-0.0105911711473356,0.8,0.442875115407042,0.442854442220223,0.442864778845808,8.75901875901876,0.517797024713622,4
"43",10,"lossavers","2",-0.205366933964113,0.100911471525023,-2.03511980214448,0.0418388199533943,4.57901402823275,-0.403149783780097,-0.00758408414812867,0.9,0.453208285929542,0.453187749236146,0.453198017621321,8.75901875901876,0.517797024713622,4
"44",11,"lossavers","2",-0.203755323281429,0.101738044582074,-2.00274463813835,0.045204704881004,4.4673832544075,-0.403158226519824,-0.00435242004303413,1,0.46346940843933,0.463449032907002,0.463459220717709,8.75901875901876,0.517797024713622,4
"45",1,"riskaverse","2",0.104116667073872,0.0977178026441999,1.06548309782375,0.286657370308577,1.80260072193513,-0.0874067067571527,0.295640040904896,0,0.359170588363987,0.359178160485455,0.35917437442147,8.75901875901876,0.517797024713622,4
"46",2,"riskaverse","2",0.104539798983956,0.0993212438624824,1.05254218451693,0.292550866926412,1.77324060153421,-0.0901262618862293,0.299205859854141,0.1,0.369604541134256,0.369612144028954,0.369608342579262,8.75901875901876,0.517797024713622,4
"47",3,"riskaverse","2",0.104824942412306,0.102861223355637,1.01909095568386,0.308159787530026,1.69824948130222,-0.0967793507704715,0.306429235595084,0.2,0.380073921933008,0.380081545565411,0.380077733747782,8.75901875901876,0.517797024713622,4
"48",4,"riskaverse","2",0.104971374009995,0.1040984460546,1.00838560025129,0.313269383095131,1.67452431788582,-0.0990578311036065,0.309000579123596,0.3,0.390564889333543,0.390572523615517,0.390568706474021,8.75901875901876,0.517797024713622,4
"49",5,"riskaverse","2",0.104979143819836,0.106976916612614,0.981325197472158,0.326432400802227,1.61514383244085,-0.104691759918032,0.314650047557704,0.4,0.401063568210713,0.401071203057763,0.401067385634644,8.75901875901876,0.517797024713622,4
"50",6,"riskaverse","2",0.104849071302001,0.107919961831335,0.971544740405544,0.331277084966337,1.59388968183605,-0.106670167100354,0.316368309704355,0.5,0.411556126957857,0.411563752345088,0.411559939652785,8.75901875901876,0.517797024713622,4
"51",7,"riskaverse","2",0.104582732277374,0.109504321633988,0.955055752292004,0.339549503556716,1.55830617187713,-0.110041794276732,0.31920725883148,0.6,0.422028853850621,0.422036459867741,0.422032656861388,8.75901875901876,0.517797024713622,4
"52",8,"riskaverse","2",0.104182437157331,0.111137808036811,0.937416699120284,0.348544254398702,1.5205862492724,-0.113643663915545,0.322008538230207,0.7,0.43246823166645,0.432475808571197,0.432472020121907,8.75901875901876,0.517797024713622,4
"53",9,"riskaverse","2",0.103651200862944,0.111681973701736,0.928092488226977,0.353359595816069,1.50079100759613,-0.115241445314808,0.322543847040696,0.8,0.442861009707181,0.44286854797656,0.442864778845808,8.75901875901876,0.517797024713622,4
