"treatment","session","id","period","endowment","belief_attack","belief_arming","production","arming","attack","opponent_production","opponent_arming","opponent_attack","conflict","rel_arming","arm_def","arm_att","unarmed_peace","choose_UP","win_conflict","comp1","comp2","likestowin","compulsive","trust","auszahlung","age","male","playerdem_study","bachelor","playerdem_understand","attack_profit","attack_spite","attack_super","attack_fight1","attack_fight2","attack_encourage","attack_chance","attack_mistake","attack_understand","noattack_risk","noattack_efficient","noattack_ownprofit","noattack_otherprofit","noattack_discourage","noattack_mistake","noattack_understand","arming_attack","arming_security","arming_noattack","arming_inefficient","arming_unequala1","arming_unequala2","arming_unequalb1","arming_unequalb2","arming_understand","indep_obs","Strategies3","choose_UC","choose_AP","choose_AC","riskaverse","econstudent","trustworth","no_cointosses","lossavers","lossavers_rel_orig","weird_LossAversion","mulSw_LossAversion","lossaversion_ordinal","X_score","Y_score","EET_type","EET_type_new","check_dec","check_game","belief_UP","reg_bel_arm","reg_bel_att","correct_beliefs","Altruist","Selfish","Maximin","armed_peace","armed_conflict"
0,15,43,3,80,NA,NA,15,65,1,55,65,0,1,0.8125,NA,65,0,0,1,7,7,9,6,8,8,19,1,3,1,3,5,5,4,5,5,5,4,1,1,1,2,1,4,1,1,1,5,5,1,1,5,1,NA,NA,1,15,4,0,0,1,0.727272748947144,0,0.567857146263123,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,100,1,0,0,0,1,0,1
0,15,43,4,80,NA,NA,15,65,1,100,20,0,1,0.8125,NA,65,0,0,1,7,7,9,6,8,8,19,1,3,1,3,5,5,4,5,5,5,4,1,1,1,2,1,4,1,1,1,5,5,1,1,5,1,NA,NA,1,15,4,0,0,1,0.727272748947144,0,0.567857146263123,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,100,1,0,0,0,1,0,1
0,15,43,5,80,NA,NA,15,65,1,60,60,1,1,0.8125,NA,65,0,0,0,7,7,9,6,8,8,19,1,3,1,3,5,5,4,5,5,5,4,1,1,1,2,1,4,1,1,1,5,5,1,1,5,1,NA,NA,1,15,4,0,0,1,0.727272748947144,0,0.567857146263123,4,0.666666686534882,0.666666686534882,0,0,4,0.5,5.5,8,3,1,1,NA,100,1,0,0,0,1,0,1
0,29,50,2,120,NA,NA,50,70,1,20,60,1,1,0.583333313465118,NA,70,0,0,0,8,8,8,5,12,9.5,23,1,11,1,3,4,4,2,5,5,2,4,1,1,1,1,1,1,1,1,1,5,5,1,1,NA,NA,5,3,1,29,4,0,0,1,0.363636374473572,0,0.240178570151329,3,0.5,0.5,0,0,3,1.5,4.5,1,1,1,1,NA,40,0,1,1,0,0,0,1
0,29,50,7,120,NA,NA,30,90,1,40,40,1,1,0.75,NA,90,0,0,1,8,8,8,5,12,9.5,23,1,11,1,3,4,4,2,5,5,2,4,1,1,1,1,1,1,1,1,1,5,5,1,1,NA,NA,5,3,1,29,4,0,0,1,0.363636374473572,0,0.240178570151329,3,0.5,0.5,0,0,3,1.5,4.5,1,1,1,1,NA,40,0,1,1,0,0,0,1
0,29,50,1,120,0,40,50,70,1,50,30,0,1,0.583333313465118,NA,70,0,0,1,8,8,8,5,12,9.5,23,1,11,1,3,4,4,2,5,5,2,4,1,1,1,1,1,1,1,1,1,5,5,1,1,NA,NA,5,3,1,29,4,0,0,1,0.363636374473572,0,0.240178570151329,3,0.5,0.5,0,0,3,1.5,4.5,1,1,1,1,0,40,0,1,1,0,0,0,1
0,29,50,3,120,NA,NA,40,80,1,70,10,0,1,0.666666686534882,NA,80,0,0,0,8,8,8,5,12,9.5,23,1,11,1,3,4,4,2,5,5,2,4,1,1,1,1,1,1,1,1,1,5,5,1,1,NA,NA,5,3,1,29,4,0,0,1,0.363636374473572,0,0.240178570151329,3,0.5,0.5,0,0,3,1.5,4.5,1,1,1,1,NA,40,0,1,1,0,0,0,1
0,29,50,4,120,NA,NA,30,90,1,20,60,1,1,0.75,NA,90,0,0,1,8,8,8,5,12,9.5,23,1,11,1,3,4,4,2,5,5,2,4,1,1,1,1,1,1,1,1,1,5,5,1,1,NA,NA,5,3,1,29,4,0,0,1,0.363636374473572,0,0.240178570151329,3,0.5,0.5,0,0,3,1.5,4.5,1,1,1,1,NA,40,0,1,1,0,0,0,1
0,29,50,5,120,NA,NA,60,60,1,10,70,1,1,0.5,NA,60,0,0,0,8,8,8,5,12,9.5,23,1,11,1,3,4,4,2,5,5,2,4,1,1,1,1,1,1,1,1,1,5,5,1,1,NA,NA,5,3,1,29,4,0,0,1,0.363636374473572,0,0.240178570151329,3,0.5,0.5,0,0,3,1.5,4.5,1,1,1,1,NA,40,0,1,1,0,0,0,1
0,29,50,6,120,NA,NA,20,100,1,80,0,0,1,0.833333313465118,NA,100,0,0,1,8,8,8,5,12,9.5,23,1,11,1,3,4,4,2,5,5,2,4,1,1,1,1,1,1,1,1,1,5,5,1,1,NA,NA,5,3,1,29,4,0,0,1,0.363636374473572,0,0.240178570151329,3,0.5,0.5,0,0,3,1.5,4.5,1,1,1,1,NA,40,0,1,1,0,0,0,1
0,8,57,5,120,NA,NA,45,75,1,0,80,1,1,0.625,NA,75,0,0,0,10,9,9,5,10,8.5,24,1,10,1,3,4,4,2,4,4,4,4,1,1,1,2,2,2,1,1,1,5,4,1,1,NA,NA,5,2,1,8,4,0,0,1,0.363636374473572,0,0.137053564190865,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,NA,40,0,1,0,0,1,0,1
0,8,57,3,120,NA,NA,45,75,1,10,70,1,1,0.625,NA,75,0,0,1,10,9,9,5,10,8.5,24,1,10,1,3,4,4,2,4,4,4,4,1,1,1,2,2,2,1,1,1,5,4,1,1,NA,NA,5,2,1,8,4,0,0,1,0.363636374473572,0,0.137053564190865,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,NA,40,0,1,0,0,1,0,1
0,8,57,4,120,NA,NA,110,10,0,0,80,1,1,0.0833333358168602,10,NA,0,0,0,10,9,9,5,10,8.5,24,1,10,1,3,4,4,2,4,4,4,4,1,1,1,2,2,2,1,1,1,5,4,1,1,NA,NA,5,2,1,8,2,0,1,0,0.363636374473572,0,0.137053564190865,3,0.5,0.5,0,0,3,0.5,4.5,8,3,1,1,NA,40,0,1,0,0,1,0,1
