"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","trust","predicted_lo","predicted_hi","predicted","riskaverse","lossavers","Strategies3"
"21",3,"trust","1",0.00830812213061839,0.00128845563441707,6.44812433481823,1.13242848825179e-10,33.0398610005023,0.00578279549148322,0.0108334487697536,4,0.0974656774505214,0.0974789704459304,0.0974723237662572,0.507674153491016,0.517797024713622,4
"22",4,"trust","1",0.00948275054809405,0.00179335044862634,5.28772865078188,1.23844507266834e-07,22.9449667804042,0.00596784825712767,0.0129976528390604,6,0.115243659671535,0.115258832072412,0.11525124567855,0.507674153491016,0.517797024713622,4
"23",5,"trust","1",0.0107187086053305,0.00240089960967357,4.4644551409577,8.02727640836366e-06,16.9266579936195,0.00601303183987403,0.015424385370787,8,0.135435784878732,0.135452934812501,0.135444359644199,0.507674153491016,0.517797024713622,4
"24",6,"trust","1",0.0119910928707626,0.00308327683182388,3.88907435978409,0.000100627285318267,13.2786908313046,0.005947981326021,0.0180342044155041,10,0.158140910958349,0.158160096706942,0.158150503627732,0.507674153491016,0.517797024713622,4
"25",7,"trust","1",0.0132688126365521,0.00381737520092706,3.47589952209302,0.000509143002619174,10.9396414576417,0.00578689472725872,0.0207507305458455,12,0.18340178892537,0.183423019025588,0.183412403772492,0.507674153491016,0.517797024713622,4
"26",8,"trust","1",0.0145156625134743,0.00456337941534912,3.18090195714392,0.00146817307459588,9.41176223532081,0.00557160321159858,0.02345972181535,14,0.211193637226858,0.21121686228688,0.211205249561924,0.507674153491016,0.517797024713622,4
"27",9,"trust","1",0.0156921269457884,0.00527457496800295,2.97505050946877,0.00292940309608195,8.41517755791619,0.00535414997474611,0.0260301039168307,16,0.241415597052241,0.241440704455354,0.241428150573358,0.507674153491016,0.517797024713622,4
"28",1,"lossavers","2",-0.224570201777241,0.0966945834178632,-2.32246930323663,0.0202076794487015,5.62895253060375,-0.414088102776357,-0.0350523007781254,0,0.341016701263931,0.340994244243753,0.34100547268909,0.507674153491016,0.517797024713622,4
"29",2,"lossavers","2",-0.22478806956383,0.0971379431577325,-2.31411189342171,0.0206615851891387,5.59690524550505,-0.415174939685285,-0.0344011994423758,2,0.359549403541275,0.359526924734319,0.359538164090739,0.507674153491016,0.517797024713622,4
"30",3,"lossavers","2",-0.22282569908938,0.0974123456601686,-2.28744824466835,0.022169673052209,5.49526869559272,-0.413750388232877,-0.0319010099458824,4,0.377069351038009,0.3770470684681,0.377058209724274,0.507674153491016,0.517797024713622,4
"31",4,"lossavers","2",-0.218625365995262,0.0975350878060156,-2.24150478471992,0.0249933959454516,5.32230925070293,-0.409790625324004,-0.0274601066665195,6,0.393185909726539,0.39316404718994,0.393174978447589,0.507674153491016,0.517797024713622,4
"32",5,"lossavers","2",-0.212217540065951,0.0977846331475629,-2.17025449945394,0.0299875714816006,5.05949149828885,-0.403871899276636,-0.0205631808552662,8,0.407498147591169,0.407476925837162,0.407487536720724,0.507674153491016,0.517797024713622,4
"33",6,"lossavers","2",-0.20372866377627,0.0980948991741106,-2.07685277717314,0.0378151493576404,4.72489187266588,-0.395991133224615,-0.0114661943279257,10,0.419611797809274,0.419591424942896,0.419601611398186,0.507674153491016,0.517797024713622,4
"34",7,"lossavers","2",-0.193381237921786,0.0986856743556875,-1.95956747708682,0.0500463658243929,4.32059087990397,-0.386801605448981,3.91296054095269e-05,12,0.429158993323411,0.429139655199619,0.429149324296838,0.507674153491016,0.517797024713622,4
"35",8,"lossavers","2",-0.181484886342398,0.099468891691054,-1.82453914240929,0.0680706043708134,3.87682427089238,-0.376440331638979,0.0134705589541834,14,0.435819485510622,0.435801337021988,0.435810411312034,0.507674153491016,0.517797024713622,4
"36",9,"lossavers","2",-0.168418277206595,0.101180968333352,-1.66452525589321,0.0960075082351408,3.38070895404476,-0.366729331060851,0.0298927766476621,16,0.439341558860609,0.439324717032888,0.439333137999783,0.507674153491016,0.517797024713622,4
"37",1,"riskaverse","2",0.11218077022033,0.103691151026076,1.08187409542902,0.279308476859267,1.84006873560088,-0.0910501513062819,0.315411691746942,0,0.341001393396902,0.341009551998616,0.34100547268909,0.507674153491016,0.517797024713622,4
"38",2,"riskaverse","2",0.112340600820637,0.104942439599886,1.07049732452341,0.284395512621395,1.8140293935374,-0.0933428012449089,0.318024002886184,2,0.359534078984231,0.359542249209989,0.359538164090739,0.507674153491016,0.517797024713622,4
"39",3,"riskaverse","2",0.111423250940828,0.106131862909843,1.04985673374527,0.293783986412765,1.76717233531897,-0.0965913779746058,0.319437879856263,4,0.377054157973571,0.377062261482972,0.377058209724274,0.507674153491016,0.517797024713622,4
"40",4,"riskaverse","2",0.109400659090554,0.106586846737144,1.02639924568131,0.304703433450799,1.71452233823503,-0.0995057217399394,0.318307039921047,6,0.39317100024333,0.393178956655137,0.393174978447589,0.507674153491016,0.517797024713622,4
"41",5,"riskaverse","2",0.106288344297011,0.10758029746946,0.987990801263437,0.323157153285059,1.62969216796388,-0.104565164189237,0.317141852783258,8,0.40748367168932,0.407491401750954,0.407487536720724,0.507674153491016,0.517797024713622,4
"42",6,"riskaverse","2",0.102149135884236,0.108255043782373,0.943597012344182,0.345375619561386,1.5337618498298,-0.110026851074022,0.314325122842494,10,0.419597896881442,0.419605325909728,0.419601611398186,0.507674153491016,0.517797024713622,4
"43",7,"riskaverse","2",0.0970930823590454,0.109295183755995,0.888356458376143,0.374349039006137,1.41754404398635,-0.117121541486392,0.311307706204483,12,0.429145793634879,0.42915285495017,0.429149324296838,0.507674153491016,0.517797024713622,4
"44",8,"riskaverse","2",0.0912729021929478,0.110277925666308,0.827662486771213,0.407861669509297,1.29384816463179,-0.124867860402802,0.307413664788697,14,0.435807092291649,0.435813730321097,0.435810411312034,0.507674153491016,0.517797024713622,4
"45",9,"riskaverse","2",0.0848749411106249,0.111878248300464,0.758636664409352,0.448069933731217,1.15820417248567,-0.134402396211713,0.304152278432963,16,0.43933005163159,0.439336224354764,0.439333137999783,0.507674153491016,0.517797024713622,4
"46",1,"trust","2",0.00945709769963748,0.00349913467274785,2.70269611892671,0.00687795954523604,7.18380365441224,0.00259891976399635,0.0163152756352786,0,0.340997906959495,0.341013038315815,0.34100547268909,0.507674153491016,0.517797024713622,4
"47",2,"trust","2",0.00904494007327589,0.00368444064094325,2.45490183035227,0.0140923066841823,6.14894841280008,0.00182356911385145,0.0162663110327003,2,0.359530928057831,0.359545399961948,0.359538164090739,0.507674153491016,0.517797024713622,4
"48",3,"trust","2",0.0084424405837058,0.00380254253828324,2.22020937273127,0.0264045583765743,5.24306917763083,0.000989594158989138,0.0158952870084225,4,0.377051455659617,0.377064963564551,0.377058209724274,0.507674153491016,0.517797024713622,4
"49",4,"trust","2",0.0076407747769125,0.00386151116361218,1.97870068301578,0.0478497160265482,4.3853458269925,7.23519703332634e-05,0.0152091975834917,6,0.393168865683388,0.393181090923031,0.393174978447589,0.507674153491016,0.517797024713622,4
"50",5,"trust","2",0.00663876139436748,0.00389326296503901,1.70519213677131,0.0881585960597223,3.50375494084075,-0.00099189379945261,0.0142694165881876,8,0.407482225535555,0.407492847553786,0.407487536720724,0.507674153491016,0.517797024713622,4
"51",6,"trust","2",0.00544447776983786,0.00393161697804524,1.38479353412112,0.166115608615203,2.58974045618207,-0.00226134990813701,0.0131503054478127,10,0.419597255610344,0.419605966774775,0.419601611398186,0.507674153491016,0.517797024713622,4
"52",7,"trust","2",0.00407636956658436,0.0040068447224608,1.01735151944717,0.308986236146649,1.69438552046397,-0.0037769017810832,0.0119296409142519,12,0.429146062969796,0.429152585161102,0.429149324296838,0.507674153491016,0.517797024713622,4
"53",8,"trust","2",0.00256358281734703,0.00418354127083425,0.612778182736996,0.540023018648934,0.888907190976284,-0.00563600740132502,0.0107631730360191,14,0.435808360194127,0.435812461926634,0.435810411312034,0.507674153491016,0.517797024713622,4
"54",9,"trust","2",0.000945299674440236,0.00446237923576324,0.211837592570402,0.832233739383739,0.264939317373573,-0.00780080291301508,0.00969140226189555,16,0.439332381495119,0.439333893974598,0.439333137999783,0.507674153491016,0.517797024713622,4
"55",1,"lossavers","4",0.260567191286976,0.102484549646228,2.54250218385544,0.0110061913427372,6.5055408745103,0.0597011650085622,0.461433217565389,0,0.590423111737405,0.590449168456534,0.590436140161199,0.507674153491016,0.517797024713622,4
